link_id,from_node_id,to_node_id,fixed_cost,link_type,acting_link_id
1,1001,2001,0,2,1
2,1001,2002,0,2,2
3,1001,2003,0,2,3
4,1001,2004,0,2,4
5,1002,2001,0,2,5
6,1002,2002,0,2,6
7,1002,2003,0,2,7
8,1002,2004,0,2,8
9,1003,2001,0,2,9
10,1003,2002,0,2,10
11,1003,2003,0,2,11
12,1003,2004,0,2,12
13,1004,2001,0,2,13
14,1004,2002,0,2,14
15,1004,2003,0,2,15
16,1004,2004,0,2,16
17,3001,4001,0,3,17
18,3001,4002,0,3,18
19,3001,4003,0,3,19
20,3001,4004,0,3,20
21,3002,4001,0,3,21
22,3002,4002,0,3,22
23,3002,4003,0,3,23
24,3002,4004,0,3,24
25,3003,4001,0,3,25
26,3003,4002,0,3,26
27,3003,4003,0,3,27
28,3003,4004,0,3,28
29,3004,4001,0,3,29
30,3004,4002,0,3,30
31,3004,4003,0,3,31
32,3004,4004,0,3,32
33,2001,3002,22,1,33
34,2001,3003,53,1,34
35,2001,3004,53,1,35
36,2002,3001,22,1,36
37,2002,3003,40,1,37
38,2002,3004,62,1,38
39,2003,3001,53,1,39
40,2003,3002,40,1,40
41,2003,3004,55,1,41
42,2004,3001,53,1,42
43,2004,3002,62,1,43
44,2004,3003,55,1,44
45,2001,3001,0,4,45
46,2002,3002,0,4,46
47,2003,3003,0,4,47
48,2004,3004,0,4,48
