agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_link_types
1,1001,4002,1,2,1,1;2;3
2,1001,4003,1,4,1,1;2;3
3,1001,4004,1,0,1,1;2;3
4,1001,4005,1,0,1,1;2;3
5,1001,4006,1,0,1,1;2;3
6,1001,4007,1,2,1,1;2;3
7,1001,4008,1,0,1,1;2;3
8,1002,4001,1,2,1,1;2;3
9,1002,4003,1,3,1,1;2;3
10,1002,4004,1,1,1,1;2;3
11,1002,4005,1,0,1,1;2;3
12,1002,4006,1,1,1,1;2;3
13,1002,4007,1,0,1,1;2;3
14,1002,4008,1,0,1,1;2;3
15,1003,4001,1,4,1,1;2;3
16,1003,4002,1,3,1,1;2;3
17,1003,4004,1,0,1,1;2;3
18,1003,4005,1,0,1,1;2;3
19,1003,4006,1,1,1,1;2;3
20,1003,4007,1,0,1,1;2;3
21,1003,4008,1,0,1,1;2;3
22,1004,4001,1,0,1,1;2;3
23,1004,4002,1,1,1,1;2;3
24,1004,4003,1,0,1,1;2;3
25,1004,4005,1,3,1,1;2;3
26,1004,4006,1,0,1,1;2;3
27,1004,4007,1,1,1,1;2;3
28,1004,4008,1,5,1,1;2;3
29,1005,4001,1,0,1,1;2;3
30,1005,4002,1,0,1,1;2;3
31,1005,4003,1,0,1,1;2;3
32,1005,4004,1,3,1,1;2;3
33,1005,4006,1,0,1,1;2;3
34,1005,4007,1,0,1,1;2;3
35,1005,4008,1,0,1,1;2;3
36,1006,4001,1,0,1,1;2;3
37,1006,4002,1,1,1,1;2;3
38,1006,4003,1,1,1,1;2;3
39,1006,4004,1,0,1,1;2;3
40,1006,4005,1,0,1,1;2;3
41,1006,4007,1,0,1,1;2;3
42,1006,4008,1,0,1,1;2;3
43,1007,4001,1,2,1,1;2;3
44,1007,4002,1,0,1,1;2;3
45,1007,4003,1,0,1,1;2;3
46,1007,4004,1,1,1,1;2;3
47,1007,4005,1,0,1,1;2;3
48,1007,4006,1,0,1,1;2;3
49,1007,4008,1,4,1,1;2;3
50,1008,4001,1,0,1,1;2;3
51,1008,4002,1,0,1,1;2;3
52,1008,4003,1,0,1,1;2;3
53,1008,4004,1,5,1,1;2;3
54,1008,4005,1,0,1,1;2;3
55,1008,4006,1,0,1,1;2;3
56,1008,4007,1,4,1,1;2;3
57,1001,4001,2,1,2,2;3;4
58,1002,4002,2,1,2,2;3;4
59,1003,4003,2,1,2,2;3;4
60,1004,4004,2,1,2,2;3;4
61,1005,4005,2,1,2,2;3;4
62,1006,4006,2,1,2,2;3;4
63,1007,4007,2,1,2,2;3;4
64,1008,4008,2,1,2,2;3;4
