agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_link_types
1,1001,4001,2,1,2,2;3;4
2,1002,4002,2,1,2,2;3;4
3,1003,4003,2,1,2,2;3;4
4,1004,4004,2,1,2,2;3;4
5,1005,4005,2,1,2,2;3;4
6,1006,4006,2,1,2,2;3;4
7,1007,4007,2,1,2,2;3;4
8,1008,4008,2,1,2,2;3;4
9,1009,4009,2,1,2,2;3;4
10,1010,4010,2,1,2,2;3;4
11,1011,4011,2,1,2,2;3;4
12,1012,4012,2,1,2,2;3;4
13,1001,4002,1,1,1,1;2;3
14,1001,4003,1,2,1,1;2;3
15,1001,4004,1,3,1,1;2;3
16,1001,4005,1,1,1,1;2;3
17,1001,4006,1,2,1,1;2;3
18,1001,4007,1,3,1,1;2;3
19,1001,4008,1,4,1,1;2;3
20,1001,4009,1,2,1,1;2;3
21,1001,4010,1,3,1,1;2;3
22,1001,4011,1,4,1,1;2;3
23,1001,4012,1,5,1,1;2;3
24,1002,4001,1,1,1,1;2;3
25,1002,4003,1,1,1,1;2;3
26,1002,4004,1,2,1,1;2;3
27,1002,4005,1,2,1,1;2;3
28,1002,4006,1,1,1,1;2;3
29,1002,4007,1,2,1,1;2;3
30,1002,4008,1,3,1,1;2;3
31,1002,4009,1,3,1,1;2;3
32,1002,4010,1,2,1,1;2;3
33,1002,4011,1,3,1,1;2;3
34,1002,4012,1,4,1,1;2;3
35,1003,4001,1,2,1,1;2;3
36,1003,4002,1,1,1,1;2;3
37,1003,4004,1,1,1,1;2;3
38,1003,4005,1,3,1,1;2;3
39,1003,4006,1,2,1,1;2;3
40,1003,4007,1,1,1,1;2;3
41,1003,4008,1,2,1,1;2;3
42,1003,4009,1,4,1,1;2;3
43,1003,4010,1,3,1,1;2;3
44,1003,4011,1,2,1,1;2;3
45,1003,4012,1,3,1,1;2;3
46,1004,4001,1,3,1,1;2;3
47,1004,4002,1,2,1,1;2;3
48,1004,4003,1,1,1,1;2;3
49,1004,4005,1,4,1,1;2;3
50,1004,4006,1,3,1,1;2;3
51,1004,4007,1,2,1,1;2;3
52,1004,4008,1,1,1,1;2;3
53,1004,4009,1,5,1,1;2;3
54,1004,4010,1,4,1,1;2;3
55,1004,4011,1,3,1,1;2;3
56,1004,4012,1,2,1,1;2;3
57,1005,4001,1,1,1,1;2;3
58,1005,4002,1,2,1,1;2;3
59,1005,4003,1,3,1,1;2;3
60,1005,4004,1,4,1,1;2;3
61,1005,4006,1,1,1,1;2;3
62,1005,4007,1,2,1,1;2;3
63,1005,4008,1,3,1,1;2;3
64,1005,4009,1,1,1,1;2;3
65,1005,4010,1,2,1,1;2;3
66,1005,4011,1,3,1,1;2;3
67,1005,4012,1,4,1,1;2;3
68,1006,4001,1,2,1,1;2;3
69,1006,4002,1,1,1,1;2;3
70,1006,4003,1,2,1,1;2;3
71,1006,4004,1,3,1,1;2;3
72,1006,4005,1,1,1,1;2;3
73,1006,4007,1,1,1,1;2;3
74,1006,4008,1,2,1,1;2;3
75,1006,4009,1,2,1,1;2;3
76,1006,4010,1,1,1,1;2;3
77,1006,4011,1,2,1,1;2;3
78,1006,4012,1,3,1,1;2;3
79,1007,4001,1,3,1,1;2;3
80,1007,4002,1,2,1,1;2;3
81,1007,4003,1,1,1,1;2;3
82,1007,4004,1,2,1,1;2;3
83,1007,4005,1,2,1,1;2;3
84,1007,4006,1,1,1,1;2;3
85,1007,4008,1,1,1,1;2;3
86,1007,4009,1,3,1,1;2;3
87,1007,4010,1,2,1,1;2;3
88,1007,4011,1,1,1,1;2;3
89,1007,4012,1,2,1,1;2;3
90,1008,4001,1,4,1,1;2;3
91,1008,4002,1,3,1,1;2;3
92,1008,4003,1,2,1,1;2;3
93,1008,4004,1,1,1,1;2;3
94,1008,4005,1,3,1,1;2;3
95,1008,4006,1,2,1,1;2;3
96,1008,4007,1,1,1,1;2;3
97,1008,4009,1,4,1,1;2;3
98,1008,4010,1,3,1,1;2;3
99,1008,4011,1,2,1,1;2;3
100,1008,4012,1,1,1,1;2;3
101,1009,4001,1,2,1,1;2;3
102,1009,4002,1,3,1,1;2;3
103,1009,4003,1,4,1,1;2;3
104,1009,4004,1,5,1,1;2;3
105,1009,4005,1,1,1,1;2;3
106,1009,4006,1,2,1,1;2;3
107,1009,4007,1,3,1,1;2;3
108,1009,4008,1,4,1,1;2;3
109,1009,4010,1,1,1,1;2;3
110,1009,4011,1,2,1,1;2;3
111,1009,4012,1,3,1,1;2;3
112,1010,4001,1,3,1,1;2;3
113,1010,4002,1,2,1,1;2;3
114,1010,4003,1,3,1,1;2;3
115,1010,4004,1,4,1,1;2;3
116,1010,4005,1,2,1,1;2;3
117,1010,4006,1,1,1,1;2;3
118,1010,4007,1,2,1,1;2;3
119,1010,4008,1,3,1,1;2;3
120,1010,4009,1,1,1,1;2;3
121,1010,4011,1,1,1,1;2;3
122,1010,4012,1,2,1,1;2;3
123,1011,4001,1,4,1,1;2;3
124,1011,4002,1,3,1,1;2;3
125,1011,4003,1,2,1,1;2;3
126,1011,4004,1,3,1,1;2;3
127,1011,4005,1,3,1,1;2;3
128,1011,4006,1,2,1,1;2;3
129,1011,4007,1,1,1,1;2;3
130,1011,4008,1,2,1,1;2;3
131,1011,4009,1,2,1,1;2;3
132,1011,4010,1,1,1,1;2;3
133,1011,4012,1,1,1,1;2;3
134,1012,4001,1,5,1,1;2;3
135,1012,4002,1,4,1,1;2;3
136,1012,4003,1,3,1,1;2;3
137,1012,4004,1,2,1,1;2;3
138,1012,4005,1,4,1,1;2;3
139,1012,4006,1,3,1,1;2;3
140,1012,4007,1,2,1,1;2;3
141,1012,4008,1,1,1,1;2;3
142,1012,4009,1,3,1,1;2;3
143,1012,4010,1,2,1,1;2;3
144,1012,4011,1,1,1,1;2;3
