agent_id,origin_node_id,destination_node_id,cost,path_node_sequence,path_link_sequence
1,1001,4001,-1935.229492,1001;2002;3002;4001;,2;422;157;,
2,1002,4002,-880.918579,1002;2007;3007;4002;,19;427;218;,
3,1003,4003,-983.636658,1003;2008;3008;4003;,32;428;231;,
4,1004,4004,-1332.655151,1004;2003;3003;4004;,39;423;172;,
5,1005,4005,-1983.439697,1005;2009;3009;4005;,57;429;245;,
6,1006,4006,-779.994873,1006;2011;3011;4006;,71;431;270;,
7,1007,4007,-1180.563232,1007;2006;3006;4007;,78;426;211;,
8,1008,4008,-836.402954,1008;2010;3010;4008;,94;430;260;,
9,1009,4009,-990.973450,1009;2012;3012;4009;,108;432;285;,
10,1010,4010,-1048.987793,1010;2005;3005;4010;,113;425;202;,
11,1011,4011,-947.526184,1011;2004;3004;4011;,124;424;191;,
12,1012,4012,-878.023560,1012;2001;3001;4012;,133;421;156;,
13,1001,4002,3.527784,1001;2002;3007;4002;,2;305;218;,
14,1001,4003,36.471832,1001;2002;3008;4003;,2;306;231;,
15,1001,4004,26.978720,1001;2002;3003;4004;,2;301;172;,
16,1001,4005,49.030968,1001;2002;3009;4005;,2;307;245;,
17,1001,4006,12.489666,1001;2002;3011;4006;,2;309;270;,
18,1001,4007,20.221291,1001;2002;3006;4007;,2;304;211;,
19,1001,4008,17.745155,1001;2002;3010;4008;,2;308;260;,
20,1001,4009,23.618919,1001;2002;3012;4009;,2;310;285;,
21,1001,4010,29.302555,1001;2002;3005;4010;,2;303;202;,
22,1001,4011,7.476349,1001;2002;3004;4011;,2;302;191;,
23,1001,4012,45.714165,1001;2002;3001;4012;,2;300;156;,
24,1002,4001,-0.798920,1002;2007;3002;4001;,19;356;157;,
25,1002,4003,-1.558097,1002;2007;3008;4003;,19;361;231;,
26,1002,4004,29.602495,1002;2007;3003;4004;,19;357;172;,
27,1002,4005,35.159622,1002;2007;3009;4005;,19;362;245;,
28,1002,4006,0.534623,1002;2007;3011;4006;,19;364;270;,
29,1002,4007,10.250572,1002;2007;3006;4007;,19;360;211;,
30,1002,4008,-23.936619,1002;2007;3010;4008;,19;363;260;,
31,1002,4009,17.515980,1002;2007;3012;4009;,19;365;285;,
32,1002,4010,10.774097,1002;2007;3005;4010;,19;359;202;,
33,1002,4011,30.339729,1002;2007;3004;4011;,19;358;191;,
34,1002,4012,6.208551,1002;2007;3001;4012;,19;355;156;,
35,1003,4001,24.348701,1003;2008;3002;4001;,32;367;157;,
36,1003,4002,6.713181,1003;2008;3007;4002;,32;372;218;,
37,1003,4004,22.306078,1003;2008;3003;4004;,32;368;172;,
38,1003,4005,41.968292,1003;2008;3009;4005;,32;373;245;,
39,1003,4006,25.455971,1003;2008;3011;4006;,32;375;270;,
40,1003,4007,6.885735,1003;2008;3006;4007;,32;371;211;,
41,1003,4008,15.153740,1003;2008;3010;4008;,32;374;260;,
42,1003,4009,11.003918,1003;2008;3012;4009;,32;376;285;,
43,1003,4010,20.326191,1003;2008;3005;4010;,32;370;202;,
44,1003,4011,22.277756,1003;2008;3004;4011;,32;369;191;,
45,1003,4012,24.101984,1003;2008;3001;4012;,32;366;156;,
46,1004,4001,25.322598,1004;2003;3002;4001;,39;312;157;,
47,1004,4002,29.270531,1004;2003;3007;4002;,39;316;218;,
48,1004,4003,37.591530,1004;2003;3008;4003;,39;317;231;,
49,1004,4005,77.236183,1004;2003;3009;4005;,39;318;245;,
50,1004,4006,34.666557,1004;2003;3011;4006;,39;320;270;,
51,1004,4007,24.048672,1004;2003;3006;4007;,39;315;211;,
52,1004,4008,24.938869,1004;2003;3010;4008;,39;319;260;,
53,1004,4009,51.664558,1004;2003;3012;4009;,39;321;285;,
54,1004,4010,47.285671,1004;2003;3005;4010;,39;314;202;,
55,1004,4011,43.118313,1004;2003;3004;4011;,39;313;191;,
56,1004,4012,34.156227,1004;2003;3001;4012;,39;311;156;,
57,1005,4001,44.076439,1005;2009;3002;4001;,57;378;157;,
58,1005,4002,55.478058,1005;2009;3007;4002;,57;383;218;,
59,1005,4003,29.985506,1005;2009;3008;4003;,57;384;231;,
60,1005,4004,71.966103,1005;2009;3003;4004;,57;379;172;,
61,1005,4006,45.353756,1005;2009;3011;4006;,57;386;270;,
62,1005,4007,49.035572,1005;2009;3006;4007;,57;382;211;,
63,1005,4008,53.839661,1005;2009;3010;4008;,57;385;260;,
64,1005,4009,18.263641,1005;2009;3012;4009;,57;387;285;,
65,1005,4010,45.652866,1005;2009;3005;4010;,57;381;202;,
66,1005,4011,47.600483,1005;2009;3004;4011;,57;380;191;,
67,1005,4012,37.734093,1005;2009;3001;4012;,57;377;156;,
68,1006,4001,50.745537,1006;2011;3002;4001;,71;400;157;,
69,1006,4002,18.870430,1006;2011;3007;4002;,71;405;218;,
70,1006,4003,24.626436,1006;2011;3008;4003;,71;406;231;,
71,1006,4004,40.892776,1006;2011;3003;4004;,71;401;172;,
72,1006,4005,42.578522,1006;2011;3009;4005;,71;407;245;,
73,1006,4007,16.378864,1006;2011;3006;4007;,71;404;211;,
74,1006,4008,12.597057,1006;2011;3010;4008;,71;408;260;,
75,1006,4009,19.389351,1006;2011;3012;4009;,71;409;285;,
76,1006,4010,25.670128,1006;2011;3005;4010;,71;403;202;,
77,1006,4011,26.412575,1006;2011;3004;4011;,71;402;191;,
78,1006,4012,14.341879,1006;2011;3001;4012;,71;399;156;,
79,1007,4001,32.421993,1007;2006;3002;4001;,78;345;157;,
80,1007,4002,27.614418,1007;2006;3007;4002;,78;349;218;,
81,1007,4003,22.646948,1007;2006;3008;4003;,78;350;231;,
82,1007,4004,32.674332,1007;2006;3003;4004;,78;346;172;,
83,1007,4005,32.902916,1007;2006;3009;4005;,78;351;245;,
84,1007,4006,27.749969,1007;2006;3011;4006;,78;353;270;,
85,1007,4008,-1.787524,1007;2006;3010;4008;,78;352;260;,
86,1007,4009,16.980034,1007;2006;3012;4009;,78;354;285;,
87,1007,4010,10.202812,1007;2006;3005;4010;,78;348;202;,
88,1007,4011,24.331379,1007;2006;3004;4011;,78;347;191;,
89,1007,4012,17.533630,1007;2006;3001;4012;,78;344;156;,
90,1008,4001,24.828869,1008;2010;3002;4001;,94;389;157;,
91,1008,4002,14.355160,1008;2010;3007;4002;,94;394;218;,
92,1008,4003,26.185316,1008;2010;3008;4003;,94;395;231;,
93,1008,4004,28.623968,1008;2010;3003;4004;,94;390;172;,
94,1008,4005,24.675631,1008;2010;3009;4005;,94;396;245;,
